"Relative Time (Process)","Nvdia A100 x2 - system/gpu.process.0.powerWatts","Nvdia A100 x2 - system/gpu.process.0.powerWatts__MIN","Nvdia A100 x2 - system/gpu.process.0.powerWatts__MAX","Nvdia A100x1 - system/gpu.process.0.powerWatts","Nvdia A100x1 - system/gpu.process.0.powerWatts__MIN","Nvdia A100x1 - system/gpu.process.0.powerWatts__MAX","Nvidia H100 x1 - system/gpu.process.0.powerWatts","Nvidia H100 x1 - system/gpu.process.0.powerWatts__MIN","Nvidia H100 x1 - system/gpu.process.0.powerWatts__MAX"
"1560.969835","315.06","315.06","315.06","","","","","",""
"1560.995914","","","","329.06","329.06","329.06","","",""
"1561.872769","","","","","","","502.04","502.04","502.04"
"1590.97317","333.3","333.3","333.3","","","","","",""
"1591.000513","","","","353.58","353.58","353.58","","",""
"1591.874366","","","","","","","522","522","522"
"1620.977868","310.11","310.11","310.11","","","","","",""
"1621.005501","","","","60.88","60.88","60.88","","",""
"1621.878785","","","","","","","588.23","588.23","588.23"
"1650.98028","279.13","279.13","279.13","","","","","",""
"1651.009614","","","","291.09","291.09","291.09","","",""
"1651.890634","","","","","","","534.58","534.58","534.58"
"1681.012862","","","","340.57","340.57","340.57","","",""
"1681.892305","","","","","","","572.52","572.52","572.52"
"1710.988604","280.03","280.03","280.03","","","","","",""
"1711.017469","","","","316.32","316.32","316.32","","",""
"1711.903732","","","","","","","501.86","501.86","501.86"
"1740.993217","304.44","304.44","304.44","","","","","",""
"1741.022018","","","","338.3","338.3","338.3","","",""
"1741.909697","","","","","","","502.83","502.83","502.83"
"1770.998209","278.95","278.95","278.95","","","","","",""
"1771.026552","","","","320.67","320.67","320.67","","",""
"1771.911112","","","","","","","511.14","511.14","511.14"
"1801.003059","60.33","60.33","60.33","","","","","",""
"1801.0289","","","","356.86","356.86","356.86","","",""
"1801.917135","","","","","","","502.68","502.68","502.68"
"1831.006927","255.5","255.5","255.5","","","","","",""
"1831.0336","","","","303.95","303.95","303.95","","",""
"1831.934852","","","","","","","489.81","489.81","489.81"
"1861.011959","310.63","310.63","310.63","","","","","",""
"1861.03823","","","","340.86","340.86","340.86","","",""
"1861.972536","","","","","","","495.44","495.44","495.44"
"1891.016905","318.69","318.69","318.69","","","","","",""
"1891.042597","","","","309.52","309.52","309.52","","",""
"1891.98713","","","","","","","543.18","543.18","543.18"
"1921.020436","284.28","284.28","284.28","","","","","",""
"1921.047024","","","","353.41","353.41","353.41","","",""
"1922.002276","","","","","","","549.65","549.65","549.65"
"1951.025247","331.91","331.91","331.91","","","","","",""
"1951.051732","","","","315.23","315.23","315.23","","",""
"1952.010946","","","","","","","514.61","514.61","514.61"
"1981.030361","289.42","289.42","289.42","","","","","",""
"1981.056396","","","","357.99","357.99","357.99","","",""
"1982.012296","","","","","","","573.45","573.45","573.45"
"2011.035298","276.07","276.07","276.07","","","","","",""
"2011.058992","","","","339.98","339.98","339.98","","",""
"2012.016855","","","","","","","569.82","569.82","569.82"
"2041.040033","266.17","266.17","266.17","","","","","",""
"2041.063528","","","","330.36","330.36","330.36","","",""
"2042.032336","","","","","","","515.78","515.78","515.78"
"2071.042945","289.1","289.1","289.1","","","","","",""
"2071.068046","","","","329.14","329.14","329.14","","",""
"2072.044377","","","","","","","506.59","506.59","506.59"
"2101.047073","291.96","291.96","291.96","","","","","",""
"2101.070281","","","","333.18","333.18","333.18","","",""
"2102.061785","","","","","","","508.19","508.19","508.19"
"2131.051846","304.17","304.17","304.17","","","","","",""
"2131.074835","","","","334.95","334.95","334.95","","",""
"2132.065939","","","","","","","497.56","497.56","497.56"
"2161.056847","289.33","289.33","289.33","","","","","",""
"2161.079467","","","","327.23","327.23","327.23","","",""
"2162.072889","","","","","","","485.93","485.93","485.93"
"2191.061691","299.48","299.48","299.48","","","","","",""
"2191.083162","","","","342.43","342.43","342.43","","",""
"2192.08847","","","","","","","493.66","493.66","493.66"
"2221.087708","","","","316","316","316","","",""
"2222.102902","","","","","","","501.13","501.13","501.13"
"2251.066767","309","309","309","","","","","",""
"2252.109559","","","","","","","512.99","512.99","512.99"
"2281.07148","304.82","304.82","304.82","","","","","",""
"2281.095576","","","","353.24","353.24","353.24","","",""
"2282.126058","","","","","","","561.29","561.29","561.29"
"2311.074038","329.46","329.46","329.46","","","","","",""
"2311.10014","","","","321.06","321.06","321.06","","",""
"2312.145664","","","","","","","508.45","508.45","508.45"
"2341.078883","327.08","327.08","327.08","","","","","",""
"2341.102325","","","","338.32","338.32","338.32","","",""
"2342.163942","","","","","","","492.48","492.48","492.48"
"2371.081409","331.22","331.22","331.22","","","","","",""
"2371.107052","","","","337.48","337.48","337.48","","",""
"2372.177733","","","","","","","484.63","484.63","484.63"
"2401.086119","309.87","309.87","309.87","","","","","",""
"2401.111648","","","","339.03","339.03","339.03","","",""
"2402.181466","","","","","","","498.75","498.75","498.75"
"2431.090642","331.9","331.9","331.9","","","","","",""
"2431.11628","","","","319.53","319.53","319.53","","",""
"2432.182579","","","","","","","574.75","574.75","574.75"
"2461.094078","299.16","299.16","299.16","","","","","",""
"2461.119859","","","","326.77","326.77","326.77","","",""
"2462.189419","","","","","","","554.72","554.72","554.72"
"2491.096619","340.93","340.93","340.93","","","","","",""
"2491.124463","","","","327.29","327.29","327.29","","",""
"2492.192493","","","","","","","508.44","508.44","508.44"
"2521.101781","308.48","308.48","308.48","","","","","",""
"2521.128943","","","","346.48","346.48","346.48","","",""
"2522.209551","","","","","","","508.72","508.72","508.72"
"2551.107454","310.67","310.67","310.67","","","","","",""
"2551.131241","","","","335.28","335.28","335.28","","",""
"2552.229007","","","","","","","398.53","398.53","398.53"
"2581.110842","296.09","296.09","296.09","","","","","",""
"2581.135801","","","","333.71","333.71","333.71","","",""
"2582.249592","","","","","","","125.11","125.11","125.11"
"2611.115611","332.83","332.83","332.83","","","","","",""
"2611.140522","","","","318.35","318.35","318.35","","",""
"2612.251153","","","","","","","412.01","412.01","412.01"
"2641.120832","314.93","314.93","314.93","","","","","",""
"2641.144979","","","","337.53","337.53","337.53","","",""
"2642.252486","","","","","","","479.12","479.12","479.12"
"2671.1256","310.94","310.94","310.94","","","","","",""
"2671.148573","","","","328.28","328.28","328.28","","",""
"2672.260483","","","","","","","500.39","500.39","500.39"
"2701.128089","305.37","305.37","305.37","","","","","",""
"2701.153145","","","","327.14","327.14","327.14","","",""
"2702.273005","","","","","","","502.69","502.69","502.69"
"2731.130631","329.38","329.38","329.38","","","","","",""
"2731.157697","","","","329.98","329.98","329.98","","",""
"2732.279013","","","","","","","493.98","493.98","493.98"
"2761.162542","","","","337.65","337.65","337.65","","",""
"2762.293269","","","","","","","528.07","528.07","528.07"
"2791.137619","309.49","309.49","309.49","","","","","",""
"2791.167174","","","","326.42","326.42","326.42","","",""
"2792.311252","","","","","","","523.38","523.38","523.38"
"2821.142545","287.59","287.59","287.59","","","","","",""
"2821.17168","","","","331.83","331.83","331.83","","",""
"2822.333543","","","","","","","496.43","496.43","496.43"
"2851.145824","332.57","332.57","332.57","","","","","",""
"2851.175592","","","","326.74","326.74","326.74","","",""
"2852.334772","","","","","","","495.05","495.05","495.05"
"2881.149438","308.17","308.17","308.17","","","","","",""
"2881.180248","","","","349.71","349.71","349.71","","",""
"2882.336521","","","","","","","518.2","518.2","518.2"
"2911.151662","340","340","340","","","","","",""
"2911.184703","","","","343.03","343.03","343.03","","",""
"2912.342059","","","","","","","506.57","506.57","506.57"
"2941.154052","322.36","322.36","322.36","","","","","",""
"2941.187835","","","","341.89","341.89","341.89","","",""
"2942.347174","","","","","","","505.39","505.39","505.39"
"2971.158965","293.29","293.29","293.29","","","","","",""
"2971.194052","","","","322.39","322.39","322.39","","",""
"2972.368","","","","","","","508.79","508.79","508.79"
"3001.162163","306.02","306.02","306.02","","","","","",""
"3001.196315","","","","347.64","347.64","347.64","","",""
"3002.39029","","","","","","","506.24","506.24","506.24"
"3031.164652","337.23","337.23","337.23","","","","","",""
"3031.198572","","","","322.17","322.17","322.17","","",""
"3032.406931","","","","","","","516.06","516.06","516.06"
"3061.16753","316.43","316.43","316.43","","","","","",""
"3061.202563","","","","350.36","350.36","350.36","","",""
"3062.407561","","","","","","","588.62","588.62","588.62"
"3091.170016","286.77","286.77","286.77","","","","","",""
"3091.206241","","","","301.92","301.92","301.92","","",""
"3092.413812","","","","","","","540.25","540.25","540.25"
"3121.173147","284.53","284.53","284.53","","","","","",""
"3121.211015","","","","350.46","350.46","350.46","","",""
"3122.431503","","","","","","","526.96","526.96","526.96"
"3151.177857","289.88","289.88","289.88","","","","","",""
"3151.215582","","","","328.25","328.25","328.25","","",""
"3152.451527","","","","","","","559.62","559.62","559.62"
"3181.18032","302.9","302.9","302.9","","","","","",""
"3181.220156","","","","343.82","343.82","343.82","","",""
"3182.46715","","","","","","","512.84","512.84","512.84"
"3211.185411","286.86","286.86","286.86","","","","","",""
"3211.224748","","","","63.03","63.03","63.03","","",""
"3212.469455","","","","","","","507.43","507.43","507.43"
"3241.190093","308.34","308.34","308.34","","","","","",""
"3241.229238","","","","271.06","271.06","271.06","","",""
"3242.470905","","","","","","","528.81","528.81","528.81"
"3271.192538","311.62","311.62","311.62","","","","","",""
"3271.232436","","","","353.1","353.1","353.1","","",""
"3272.474964","","","","","","","587.86","587.86","587.86"
"3301.195209","317.04","317.04","317.04","","","","","",""
"3301.23696","","","","305.4","305.4","305.4","","",""
"3302.492058","","","","","","","525.42","525.42","525.42"
"3331.24007","","","","353.77","353.77","353.77","","",""
"3332.497871","","","","","","","521.51","521.51","521.51"
"3361.203259","322.42","322.42","322.42","","","","","",""
"3361.244769","","","","348.33","348.33","348.33","","",""
